query_id,query,type,source,gold_doc,gold_sec,n_retrieved,recall@1,recall@3,recall@5,recall@10,mrr@10,ndcg@10
852703f0-8373-43a2-a18a-eb5908ad0779,What are the challenges in estimating output impedance in inverter-based grids?,abstractive,text-image,2410.14077v2,1,8,1.0,1.0,1.0,1.0,1.0,1.0
947fbbd3-465b-48ad-bc13-068dd830b215,How are expectations calculated in the narrative framework?,abstractive,text,2412.15239v2,6,8,1.0,1.0,1.0,1.0,1.0,1.0
3efaa379-dc4f-46bd-9f32-b0e08d1b6d37,Why is non-Gaussianity important for identifying shocks in nonlinear SVAR models?,abstractive,text,2404.19707v4,1,8,1.0,1.0,1.0,1.0,1.0,1.0
dcb59b54-b8ea-46df-a604-d2ed473cd0a9,What is the significance of pro-cdh descent in derived schemes?,abstractive,text,2407.04378v2,0,8,1.0,1.0,1.0,1.0,1.0,1.0
1f8c09da-5118-4b6f-bcd7-d2f601d7c2d7,How has differential item functioning (DIF) analysis evolved in recent years?,abstractive,text,2408.13702v3,1,8,1.0,1.0,1.0,1.0,1.0,1.0
7681392c-253c-499d-87f2-d05474f40bc4,Does Open AI emphasize virtual processes over in-person engagement for scalability?,extractive,text,2407.11613v2,3,8,1.0,1.0,1.0,1.0,1.0,1.0
dd1772ea-0e31-4981-b7f0-93e544a8cd89,What is the difference in matching efficiency between private and public job search platforms?,abstractive,text,2410.17011v3,9,8,1.0,1.0,1.0,1.0,1.0,1.0
64926bbe-8018-4885-ba53-d50cce853f3e,What improvements does the XLSR-Mamba model offer over other systems on ASVspoof datasets?,abstractive,text-image,2411.10027v2,1,8,0.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222
3d837100-21ff-4c15-84ea-b18828749b99,Why might complex moments be relevant despite not being commonly used in econometrics?,abstractive,text,2410.23587v3,1,8,1.0,1.0,1.0,1.0,1.0,1.0
60034fc3-7af5-4b0b-ac4b-0003c36fbcbc,What are the key components for controlling emotions in text-to-speech systems?,abstractive,text,2409.16681v2,10,8,0.0,0.0,1.0,1.0,0.25,0.43067655807339306
04f06b6e-7ad7-431c-8353-d218d39daa85,What is the impact of varying exposure surfaces on data variability in statistical models?,abstractive,text-image,2403.05373v2,26,8,1.0,1.0,1.0,1.0,1.0,1.0
29de4093-a8ca-48d3-b877-2a4a98800f90,What is the difference between worker-side and vacancy-side matching probabilities on Japanese job platforms?,abstractive,text-image,2410.17011v3,4,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
4e41b706-f97d-4616-80a3-a2f00b1f9599,How does scaling law relate to protein language modeling experiments?,abstractive,text-image,2411.08909v3,40,8,0.0,0.0,0.0,0.0,0.0,0.0
e5ba22c5-86c7-423f-9ae8-fc19fa620cfd,What role do Bayesian models play in mitigating bias from spatial confounding?,abstractive,text,2403.05373v2,3,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
5a7c808e-37ea-4d03-9c94-efc71c950d7e,Does analyzing GTA problems require biomedical knowledge?,extractive,text,2406.15341v3,25,8,1.0,1.0,1.0,1.0,1.0,1.0
de261def-2005-4f68-90cb-fc51b65ef12d,Does the probabilistic counter use more than $\mathcal{O}(1)$ bits to detect if it has exceeded a threshold?,extractive,text,2402.13385v2,31,8,1.0,1.0,1.0,1.0,1.0,1.0
f177c5ff-7f57-4ded-90b2-d1433bf93ead,Why is it important to determine the maximum value points in Gaussian function analysis?,abstractive,text-image,2411.11402v4,13,8,1.0,1.0,1.0,1.0,1.0,1.0
84bcb1a2-aa7b-4a93-8633-15793fdec09d,What role does alpha play in determining cost reductions within extended MRP models during periods of temporary overbooking?,abstractive,text-table,2403.11010v3,27,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
afe36247-d8dd-402f-8bfc-90fc0b6f3e8c,"Which molecule has a higher reward score, aripiprazole or celecoxib?",extractive,text-table,2405.01155v3,14,8,1.0,1.0,1.0,1.0,1.0,1.0
2636d681-f4d6-4514-a0a2-187fe1058194,How does complex integration help in solving differential equations?,abstractive,text-image,2411.11402v4,6,8,0.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333
4a225574-06a5-48e1-85eb-ab911da819d5,What are the implications of the absence of massive activations in LC-PLM?,abstractive,text,2411.08909v3,35,8,1.0,1.0,1.0,1.0,1.0,1.0
e088013f-2c75-42a1-b2b7-43c871e82340,Is actual story text used alongside other features to predict user engagement metrics?,extractive,text,2412.15239v2,7,8,1.0,1.0,1.0,1.0,1.0,1.0
70fd72f5-f7e0-4a76-b1b4-5f71e3554cb6,What factors might contribute to declining job-worker finding rates in Japanese employment markets?,abstractive,text-image,2410.17011v3,4,8,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
